model,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,mean_jaccard,std_jaccard,median_jaccard,total_splits,n_stable_features,freq_threshold_used
baseline_full,49207,0.6874564459930314,0.0026074267503650946,0.5013266388515664,0.0022461616684196412,0.6161388869245457,0.008265695380707129,,,,,,
single_shot_topK,100,0.7337979094076655,0.003378174116666436,0.5878481012658228,0.004459408665335218,0.7679174032953822,0.005578173991374459,,,,,,
stability_aware,50,0.7445993031358885,0.005574912891986056,0.6207467647266813,0.006566046887412139,0.7697631002050775,0.0027089050320829983,0.029374296800168953,0.012926861399156013,0.030927835051546393,25.0,50.0,0.6
