model,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,mean_jaccard,std_jaccard,median_jaccard,total_splits,n_stable_features,freq_threshold_used
baseline_full,49207,0.7544827586206896,0.012024548809767352,0.5167176350662589,0.01743972256437596,0.7132262996941896,0.012620881103822248,,,,,,
single_shot_topK,100,0.8317241379310344,0.012791197924821685,0.7094801223241591,0.024387327326522577,0.8608053007135575,0.010624680449429252,,,,,,
stability_aware,50,0.8344827586206897,0.012336926772412658,0.718756371049949,0.021186920618575137,0.8693934760448521,0.006908051635302692,0.0455580698763099,0.016032623323684755,0.041666666666666664,25.0,50.0,0.6
